ID,Headword,Language_ID,Part_Of_Speech,Description,URN,Source
urn-nabu-dict-wiktionary-akk-Yaun-ya-name,Yaunāya,akk,name,Ionian,urn:nabu:dict:wiktionary-akk:Yaunāya:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Yau-azi-name,Yauḫazi,akk,name,"a male given name Ahaz, the king of Judah",urn:nabu:dict:wiktionary-akk:Yauḫazi:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-a-lu-noun,a'īlu,akk,noun,Middle Assyrian form of awīlum,urn:nabu:dict:wiktionary-akk:a'īlu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-abdu-noun,abdu,akk,noun,"servant, slave",urn:nabu:dict:wiktionary-akk:abdu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-abnum-noun,abnum,akk,noun,"stone, rock",urn:nabu:dict:wiktionary-akk:abnum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-abtum-adj,abtum,akk,adj,verbal adjective of abātum,urn:nabu:dict:wiktionary-akk:abtum:adj,wiktionary-akk
urn-nabu-dict-wiktionary-akk-abullum-noun,abullum,akk,noun,"entrance gate (of a city, building or building complex)",urn:nabu:dict:wiktionary-akk:abullum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-abum-noun,abum,akk,noun,father,urn:nabu:dict:wiktionary-akk:abum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ab-lu-verb,abālu,akk,verb,Standard Babylonian form of wabālum,urn:nabu:dict:wiktionary-akk:abālu:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ab-tum-verb,abātum,akk,verb,"to destroy (buildings, objects, people), lay waste, ruin (a region, people), collapse",urn:nabu:dict:wiktionary-akk:abātum:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ab-lum-noun,abīlum,akk,noun,Old Akkadian form of awīlum,urn:nabu:dict:wiktionary-akk:abīlum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ab-bum-noun,abūbum,akk,noun,"the Deluge, the Flood (as cosmic event or as personification of the ultimate wrath, destruction and aggressiveness)",urn:nabu:dict:wiktionary-akk:abūbum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-adarum-noun,adarum,akk,noun,alternative form of adārum,urn:nabu:dict:wiktionary-akk:adarum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-addum-noun,addum,akk,noun,"storm, thunderstorm",urn:nabu:dict:wiktionary-akk:addum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-adi-prep,adi,akk,prep,"up to, as far as",urn:nabu:dict:wiktionary-akk:adi:prep,wiktionary-akk
urn-nabu-dict-wiktionary-akk-adrum-noun,adrum,akk,noun,threshing floor,urn:nabu:dict:wiktionary-akk:adrum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ad-mu-noun,adāmu,akk,noun,Non-mimated form of adāmum,urn:nabu:dict:wiktionary-akk:adāmu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ad-mum-verb,adāmum,akk,verb,to own a share in a common fund,urn:nabu:dict:wiktionary-akk:adāmum:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ad-num-noun,adānum,akk,noun,"fixed date, time limit (a moment in time at the end of a specified period)",urn:nabu:dict:wiktionary-akk:adānum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ad-ru-noun,adāru,akk,noun,Non-mimated form of adārum,urn:nabu:dict:wiktionary-akk:adāru:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ad-rum-noun,adārum,akk,noun,"an indigenous tree, particular poplar and lemon tree",urn:nabu:dict:wiktionary-akk:adārum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-agammum-noun,agammum,akk,noun,"marsh, lagoon",urn:nabu:dict:wiktionary-akk:agammum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-agannu-noun,agannu,akk,noun,Non-mimated form of agannum,urn:nabu:dict:wiktionary-akk:agannu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-agannum-noun,agannum,akk,noun,"a large bowl, cauldron",urn:nabu:dict:wiktionary-akk:agannum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-akalum-noun,akalum,akk,noun,"bread, loaf (of bread)",urn:nabu:dict:wiktionary-akk:akalum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-akkad-m-adj,akkadûm,akk,adj,Akkadian,urn:nabu:dict:wiktionary-akk:akkadûm:adj,wiktionary-akk
urn-nabu-dict-wiktionary-akk-akk-noun,akkû,akk,noun,a type of owl,urn:nabu:dict:wiktionary-akk:akkû:noun,wiktionary-akk
