ID,Variant,Traditional,Variant_Codepoint,Traditional_Codepoint,Source
U-4FEA,俪,儷,U+4FEA,U+5137,unihan
U-4FEB,俫,倈,U+4FEB,U+5008,unihan
U-4FED,俭,儉,U+4FED,U+5109,unihan
U-5002,倂,併,U+5002,U+4F75,unihan
U-503A,债,債,U+503A,U+50B5,unihan
U-503C,值,値,U+503C,U+5024,unihan
U-503E,倾,傾,U+503E,U+50BE,unihan
U-507E,偾,僨,U+507E,U+50E8,unihan
U-507F,偿,償,U+507F,U+511F,unihan
U-50A5,傥,儻,U+50A5,U+513B,unihan
U-50A7,傧,儐,U+50A7,U+5110,unihan
U-50A8,储,儲,U+50A8,U+5132,unihan
U-50A9,傩,儺,U+50A9,U+513A,unihan
U-5156,兖,兗,U+5156,U+5157,unihan
U-5170,兰,蘭,U+5170,U+862D,unihan
U-5173,关,關,U+5173,U+95DC,unihan
U-5174,兴,興,U+5174,U+8208,unihan
U-5179,兹,茲,U+5179,U+8332,unihan
U-517B,养,養,U+517B,U+990A,unihan
U-517D,兽,獸,U+517D,U+7378,unihan
U-5181,冁,囅,U+5181,U+56C5,unihan
U-5188,冈,岡,U+5188,U+5CA1,unihan
U-5199,写,寫,U+5199,U+5BEB,unihan
U-519B,军,軍,U+519B,U+8ECD,unihan
U-519C,农,農,U+519C,U+8FB2,unihan
U-51AF,冯,馮,U+51AF,U+99AE,unihan
U-51B3,决,決,U+51B3,U+6C7A,unihan
U-51BB,冻,凍,U+51BB,U+51CD,unihan
U-51C0,净,凈,U+51C0,U+51C8,unihan
U-51DB,凛,凜,U+51DB,U+51DC,unihan
U-51EF,凯,凱,U+51EF,U+51F1,unihan
U-51FB,击,擊,U+51FB,U+64CA,unihan
U-51FF,凿,鑿,U+51FF,U+947F,unihan
U-520D,刍,芻,U+520D,U+82BB,unihan
U-5219,则,則,U+5219,U+5247,unihan
U-521A,刚,剛,U+521A,U+525B,unihan
U-521B,创,創,U+521B,U+5275,unihan
U-522C,刬,剗,U+522C,U+5257,unihan
U-522D,刭,剄,U+522D,U+5244,unihan
U-523D,刽,劊,U+523D,U+528A,unihan
U-523F,刿,劌,U+523F,U+528C,unihan
U-5240,剀,剴,U+5240,U+5274,unihan
U-5242,剂,劑,U+5242,U+5291,unihan
U-5250,剐,剮,U+5250,U+526E,unihan
U-5251,剑,劍,U+5251,U+528D,unihan
U-5265,剥,剝,U+5265,U+525D,unihan
U-52A1,务,務,U+52A1,U+52D9,unihan
U-52A2,劢,勱,U+52A2,U+52F1,unihan
U-52B2,劲,勁,U+52B2,U+52C1,unihan
U-52CB,勋,勛,U+52CB,U+52DB,unihan
U-52DA,勚,勩,U+52DA,U+52E9,unihan
U-5326,匦,匭,U+5326,U+532D,unihan
U-532E,匮,匱,U+532E,U+5331,unihan
U-534E,华,華,U+534E,U+83EF,unihan
U-534F,协,協,U+534F,U+5354,unihan
U-5356,卖,賣,U+5356,U+8CE3,unihan
U-5362,卢,盧,U+5362,U+76E7,unihan
U-536B,卫,衛,U+536B,U+885B,unihan
U-5385,厅,廳,U+5385,U+5EF3,unihan
U-538C,厌,厭,U+538C,U+53AD,unihan
U-538D,厍,厙,U+538D,U+5399,unihan
U-5390,厐,龎,U+5390,U+9F8E,unihan
U-53A2,厢,廂,U+53A2,U+5EC2,unihan
U-53A3,厣,厴,U+53A3,U+53B4,unihan
U-53BF,县,縣,U+53BF,U+7E23,unihan
U-53C1,叁,叄,U+53C1,U+53C4,unihan
U-53C6,叆,靉,U+53C6,U+9749,unihan
U-53C7,叇,靆,U+53C7,U+9746,unihan
U-53D8,变,變,U+53D8,U+8B8A,unihan
U-53F9,叹,嘆,U+53F9,U+5606,unihan
U-53FD,叽,嘰,U+53FD,U+5630,unihan
U-5415,吕,呂,U+5415,U+5442,unihan
U-5417,吗,嗎,U+5417,U+55CE,unihan
U-5423,吣,唚,U+5423,U+551A,unihan
U-5428,吨,噸,U+5428,U+5678,unihan
U-5434,吴,吳,U+5434,U+5433,unihan
U-5449,呉,吳,U+5449,U+5433,unihan
U-5450,呐,吶,U+5450,U+5436,unihan
U-5452,呒,嘸,U+5452,U+5638,unihan
U-5453,呓,囈,U+5453,U+56C8,unihan
U-5455,呕,嘔,U+5455,U+5614,unihan
U-5456,呖,嚦,U+5456,U+56A6,unihan
U-5457,呗,唄,U+5457,U+5504,unihan
U-5458,员,員,U+5458,U+54E1,unihan
U-5459,呙,咼,U+5459,U+54BC,unihan
U-545B,呛,嗆,U+545B,U+55C6,unihan
U-545C,呜,嗚,U+545C,U+55DA,unihan
U-5499,咙,嚨,U+5499,U+56A8,unihan
U-549B,咛,嚀,U+549B,U+5680,unihan
U-549D,咝,噝,U+549D,U+565D,unihan
U-54D1,哑,啞,U+54D1,U+555E,unihan
U-54D2,哒,噠,U+54D2,U+5660,unihan
U-54D3,哓,嘵,U+54D3,U+5635,unihan
U-54D4,哔,嗶,U+54D4,U+55F6,unihan
U-54D5,哕,噦,U+54D5,U+5666,unihan
U-54D7,哗,嘩,U+54D7,U+5629,unihan
U-54D9,哙,噲,U+54D9,U+5672,unihan
U-54DC,哜,嚌,U+54DC,U+568C,unihan
U-54DD,哝,噥,U+54DD,U+5665,unihan
U-54DF,哟,喲,U+54DF,U+55B2,unihan
U-551B,唛,嘜,U+551B,U+561C,unihan
U-551D,唝,嗊,U+551D,U+55CA,unihan
U-5520,唠,嘮,U+5520,U+562E,unihan
U-5521,唡,啢,U+5521,U+5562,unihan
U-5522,唢,嗩,U+5522,U+55E9,unihan
U-5524,唤,喚,U+5524,U+559A,unihan
U-5567,啧,嘖,U+5567,U+5616,unihan
U-556C,啬,嗇,U+556C,U+55C7,unihan
U-556D,啭,囀,U+556D,U+56C0,unihan
U-556E,啮,嚙,U+556E,U+5699,unihan
U-556F,啯,嘓,U+556F,U+5613,unihan
U-5574,啴,嘽,U+5574,U+563D,unihan
U-5578,啸,嘯,U+5578,U+562F,unihan
U-55B7,喷,噴,U+55B7,U+5674,unihan
U-55BE,喾,嚳,U+55BE,U+56B3,unihan
U-55EB,嗫,囁,U+55EB,U+56C1,unihan
U-55F3,嗳,噯,U+55F3,U+566F,unihan
U-5618,嘘,噓,U+5618,U+5653,unihan
U-5624,嘤,嚶,U+5624,U+56B6,unihan
U-565C,噜,嚕,U+565C,U+5695,unihan
U-56A3,嚣,囂,U+56A3,U+56C2,unihan
U-56F1,囱,囪,U+56F1,U+56EA,unihan
U-56F4,围,圍,U+56F4,U+570D,unihan
U-56F5,囵,圇,U+56F5,U+5707,unihan
U-56FD,国,國,U+56FD,U+570B,unihan
U-5706,圆,圓,U+5706,U+5713,unihan
U-5723,圣,聖,U+5723,U+8056,unihan
U-5739,圹,壙,U+5739,U+58D9,unihan
U-573A,场,場,U+573A,U+5834,unihan
U-575A,坚,堅,U+575A,U+5805,unihan
U-575C,坜,壢,U+575C,U+58E2,unihan
U-575E,坞,塢,U+575E,U+5862,unihan
U-575F,坟,墳,U+575F,U+58B3,unihan
U-5760,坠,墜,U+5760,U+589C,unihan
U-5784,垄,壟,U+5784,U+58DF,unihan
U-5785,垅,壠,U+5785,U+58E0,unihan
U-5786,垆,壚,U+5786,U+58DA,unihan
U-5792,垒,壘,U+5792,U+58D8,unihan
U-57A6,垦,墾,U+57A6,U+58BE,unihan
U-57A9,垩,堊,U+57A9,U+580A,unihan
U-57AB,垫,墊,U+57AB,U+588A,unihan
U-57AD,垭,埡,U+57AD,U+57E1,unihan
U-57AF,垯,墶,U+57AF,U+58B6,unihan
U-57B1,垱,壋,U+57B1,U+58CB,unihan
U-57B2,垲,塏,U+57B2,U+584F,unihan
U-57B4,垴,堖,U+57B4,U+5816,unihan
U-57D8,埘,塒,U+57D8,U+5852,unihan
U-57D9,埙,塤,U+57D9,U+5864,unihan
U-57DA,埚,堝,U+57DA,U+581D,unihan
U-57EF,埯,垵,U+57EF,U+57B5,unihan
U-5811,堑,塹,U+5811,U+5879,unihan
U-5846,塆,壪,U+5846,U+58EA,unihan
U-586B,填,塡,U+586B,U+5861,unihan
U-58F6,壶,壺,U+58F6,U+58FA,unihan
U-58F8,壸,壼,U+58F8,U+58FC,unihan
U-58FF,壿,墫,U+58FF,U+58AB,unihan
U-5904,处,處,U+5904,U+8655,unihan
U-5907,备,備,U+5907,U+5099,unihan
U-5939,夹,夾,U+5939,U+593E,unihan
U-593A,夺,奪,U+593A,U+596A,unihan
