ID,URN,Passage_SHA256,Cantiga_ID,Line,Stanza,Number_Gap,Primary_Text
l-1553-18,urn:nabu:cantigas:1553:18,8e1b7955a3ecbe941b68f87e85c5c63ec9ce9bb81c3b2717e48be5ab30f63d03,c-1553,18,3,,se lho dam por aguilhando?
l-1554-1,urn:nabu:cantigas:1554:1,c749b9eac24aafc5b3de6ecf5bb77552a95ebe8f168d973dfec8aaa45dd8b08c,c-1554,1,1,,Um porteir'há em cas d'el-rei
l-1554-2,urn:nabu:cantigas:1554:2,c8fb1e0c4a55d4134b1bccb680139cf155deac6f752da95afd6e493998ff41eb,c-1554,2,1,,"que me conhoc'e, onde quer"
l-1554-3,urn:nabu:cantigas:1554:3,a8df7d391545e191be5f5937274d6a180df29b2cb673702b3e963af2addbb288,c-1554,3,1,,"que me veja, logo me fer"
l-1554-4,urn:nabu:cantigas:1554:4,248f4e878cc247bacc6be3360328d58916da8ee047b71bf31146b8700ba03f1b,c-1554,4,1,,ou me diz: - Nom vos colherei;
l-1554-5,urn:nabu:cantigas:1554:5,7a23e270fff5b54f4fe5e1926216ffa42594692cc54285738786268ea879dbb8,c-1554,5,1,,"sempre por vós esto farei,"
l-1554-6,urn:nabu:cantigas:1554:6,93a7bce331f3f22230db09f8b8bfd659ec0adc7ecb385a72fd17f7b21cd1d2b3,c-1554,6,1,,cada que m'houverdes mester.
l-1554-7,urn:nabu:cantigas:1554:7,8fd5bdfa09adb2da693b170ef327f4c444b269fe6f58eb69d8a19ba8985b2e9a,c-1554,7,2,,"Diz-m'el, porque xi mi quer bem:"
l-1554-8,urn:nabu:cantigas:1554:8,b5a17ca47df3cd75191b76a46909cd5966729c826e19afcfc096ffaa997eef34,c-1554,8,2,,- Queredes com el-rei falar?
l-1554-9,urn:nabu:cantigas:1554:9,926b8d0dc15d7f9eb3f030edb994f3634a561844715af192d66a0968fa7679cb,c-1554,9,2,,"E nom vos leixarei entrar,"
l-1554-10,urn:nabu:cantigas:1554:10,822b670822ed13767ab1777922aea19584c1885d75c7f7b1cf3671c9dd6359c4,c-1554,10,2,,como quer que m'avenha en;
l-1554-11,urn:nabu:cantigas:1554:11,42fea2fbab3f308a8a081abaa7b05ba10e031b14c82b1c10ac7299d6db8ef10c,c-1554,11,2,,"se vos pormeter algũa rem,"
l-1554-12,urn:nabu:cantigas:1554:12,a1e565185514461fec038ed26a439ced78a2a31fe235e75e8c37fef7b943b95e,c-1554,12,2,,nom vo-lo farei recadar.
l-1554-13,urn:nabu:cantigas:1554:13,a395c5c0c289ba3423c25494e9fa4a01a860b6ecb82c5cdba499ce9f45a1379c,c-1554,13,3,,"Des que s'a guerra começou,"
l-1554-14,urn:nabu:cantigas:1554:14,fa00af4b94c6097ba1d7f83a8938ef17778dd2a0095fa7609ea4a69982c277e7,c-1554,14,3,,"porque servistes a 'l-rei i,"
l-1554-15,urn:nabu:cantigas:1554:15,36d5a5f1b9dec74fe1fda792c4a143fbcf4bf554d2546826327445ad1bd3150a,c-1554,15,3,,nom vos terram a porta assi
l-1554-16,urn:nabu:cantigas:1554:16,1e455b513d99b33bcc5ff4daa16bc2785d4a00c4e637057eb025405e41fd8162,c-1554,16,3,,com'ao que ora chegou:
l-1554-17,urn:nabu:cantigas:1554:17,b1c17ee1c860335579304d64f6dffa6d79d9bef5fe4c08a23b62ea9b5278532d,c-1554,17,3,,"- Pero mi o el-rei nom mandou,"
l-1554-18,urn:nabu:cantigas:1554:18,505560945d881828d87faff67ea4f761b9280718ff8ee5fc4fd60a0df54cc414,c-1554,18,3,,nom entraredes já hoj'i.
l-1555-1,urn:nabu:cantigas:1555:1,724a9068154de21c74881a622886434900f051194680cf0139e1721e3ec4ae5b,c-1555,1,1,,Quite-mi a mi meu senhor
l-1555-2,urn:nabu:cantigas:1555:2,4cd4bf1ea9edf30a5d4b78fe7f8c54fcbd21f2a977534d0a8c054357231c6ef2,c-1555,2,1,,e dê-mi um bom fiador
l-1555-3,urn:nabu:cantigas:1555:3,323de6e9c2b18778f9340d63207092155659f062ec0146000dfa7f895d2243d4,c-1555,3,1,,por mia soldada;
l-1555-4,urn:nabu:cantigas:1555:4,96531e65d44c8a831913b627aa4466b8af7c04d6a0d33d660f0fde7f90345696,c-1555,4,1,,"e irei eu, se el for,"
l-1555-5,urn:nabu:cantigas:1555:5,34cf2267bfc3414a192da5de74424ba9420f673f9bd521881586a73df9c4efa0,c-1555,5,1,,na cavalgada.
l-1555-6,urn:nabu:cantigas:1555:6,45b83d4d3ff78ad5c7b584aad9f0e0a39b61b7ae4d7c10027d334876fd4bebc9,c-1555,6,2,,Dê-mi o que por el perdi
l-1555-7,urn:nabu:cantigas:1555:7,199c0239e14c5edfa8aaab3d6349ba43ebb1cd4cfdb92d272119791496d3289b,c-1555,7,2,,e um bom penhor aqui
l-1555-8,urn:nabu:cantigas:1555:8,fbc1c02f2ddb110429062a2f14c02228d4fb9617607fdf76c393071a513b3b38,c-1555,8,2,,por mia soldada;
l-1555-9,urn:nabu:cantigas:1555:9,4577fdad54df05608f18a0ddfff8882ae15746710a7c5aa000787b3b6715078a,c-1555,9,2,,"e irei eu, se el for i,"
l-1555-10,urn:nabu:cantigas:1555:10,6b7ef933d769bcd41fdc71c897c1b171eddeb33964c517ce08a202b42773d62d,c-1555,10,2,,na cavalgada.
l-1555-11,urn:nabu:cantigas:1555:11,daeecbb3dd7dd9861da6480c833f573f434566c85bff56ae7da24b79e47eaa07,c-1555,11,3,,Sospeita-m'el e el eu;
l-1555-12,urn:nabu:cantigas:1555:12,b04a386be1fdf4f406584be91d61e56663ede40ec07bcb978a830da89e8141a2,c-1555,12,3,,mais entregue-m'um judeu
l-1555-13,urn:nabu:cantigas:1555:13,47ff6b6a8989285e968858be3a7fd14a488805cb879fd91cec7724112486e151,c-1555,13,3,,por mia soldada;
l-1555-14,urn:nabu:cantigas:1555:14,be992daebe62ab1abbdb42ab6a4a881c07a1048fa6385e8d16ceaf74f3374ec6,c-1555,14,3,,"e, se el for, irei eu"
l-1555-15,urn:nabu:cantigas:1555:15,0397d4cc89ab603b6c4057414dae9814b0f6eab5e05f80b5906080ea17cd5391,c-1555,15,3,,na cavalgada.
