ID,Language_ID,Lemma,Present,Past,Future,Imperative,Analysis_Source,Comment,Source
v-b8f4f96b205c-TDC,xct,སྐུག,སྐུག,བསྐུགས,བསྐུག,སྐུགས,TDC,,tvd
v-b8f4f96b205c-PH,xct,སྐུག,སྐུག,བསྐུགས,བསྐུག,སྐུགས,PH,,tvd
v-b8f4f96b205c-KN,xct,སྐུག,སྐུག,བསྐུགས,བསྐུག,སྐུགས,KN,,tvd
v-1f5f655913c9-TDC,xct,སྐུང,སྐུང,བསྐུངས,བསྐུང,སྐུངས,TDC,,tvd
v-1f5f655913c9-PH,xct,སྐུང,སྐུང,བསྐུངས,བསྐུང,སྐུངས,PH,,tvd
v-1f5f655913c9-GT,xct,སྐུང,སྐུང,བསྐུངས,བསྐུང,སྐུངས,GT,,tvd
v-1f5f655913c9-KN,xct,སྐུང,སྐུང,བསྐུངས,བསྐུང,སྐུངས,KN,,tvd
v-8f55ba6370ec-KN,xct,སྐུད,སྐུད,བསྐུས,སྐུ,སྐུས,KN,,tvd
v-d877ffd89a87-TDC,xct,སྐུད,སྐུད,བསྐུས,བསྐུ,སྐུས,TDC,,tvd
v-d877ffd89a87-PH,xct,སྐུད,སྐུད,བསྐུས,བསྐུ,སྐུས,PH,,tvd
v-06acb4eaea2f-TDC,xct,སྐུམ,སྐུམ,བསྐུམས,བསྐུམ,སྐུམས,TDC,,tvd
v-06acb4eaea2f-PH,xct,སྐུམ,སྐུམ,བསྐུམས,བསྐུམ,སྐུམས,PH,,tvd
v-06acb4eaea2f-GT,xct,སྐུམ,སྐུམ,བསྐུམས,བསྐུམ,སྐུམས,GT,,tvd
v-06acb4eaea2f-KN,xct,སྐུམ,སྐུམ,བསྐུམས,བསྐུམ,སྐུམས,KN,,tvd
v-5f170659ccbb-GT,xct,སྐུར,སྐུར,བསྐུར༼ད༽,བསྐུར,སྐུར༼ད༽,GT,,tvd
v-74527138534c-TDC,xct,སྐུར,སྐུར,བསྐུར,བསྐུར,སྐུར,TDC,,tvd
v-74527138534c-PH,xct,སྐུར,སྐུར,བསྐུར,བསྐུར,སྐུར,PH,,tvd
v-74527138534c-KN,xct,སྐུར,སྐུར,བསྐུར,བསྐུར,སྐུར,KN,,tvd
v-ead39691eb8c-GT,xct,སྐུལ,སྐུལ,བསྐུལ༼ད༽,བསྐུལ,སྐུལ༼ད༽,GT,,tvd
v-02775ace09fa-TDC,xct,སྐུལ,སྐུལ,བསྐུལ,བསྐུལ,སྐུལ,TDC,,tvd
v-02775ace09fa-PH,xct,སྐུལ,སྐུལ,བསྐུལ,བསྐུལ,སྐུལ,PH,,tvd
v-02775ace09fa-KN,xct,སྐུལ,སྐུལ,བསྐུལ,བསྐུལ,སྐུལ,KN,,tvd
v-e87e23c9b842-TDC,xct,སྐེམ,སྐེམ,བསྐམས,བསྐམ,སྐོམས,TDC,,tvd
v-e87e23c9b842-PH,xct,སྐེམ,སྐེམ,བསྐམས,བསྐམ,སྐོམས,PH,,tvd
v-e87e23c9b842-KN,xct,སྐེམ,སྐེམ,བསྐམས,བསྐམ,སྐོམས,KN,,tvd
v-3ee2b8afc920-GT,xct,སྐེམ༼སྐམ༽,སྐེམ༼སྐམ༽,བསྐམས,བསྐམ,སྐེམས༼སྐམས༽,GT,,tvd
v-1a1c79f28300-TDC,xct,སྐོ,སྐོ,བསྐོས,བསྐོ,སྐོས,TDC,,tvd
v-1a1c79f28300-PH,xct,སྐོ,སྐོ,བསྐོས,བསྐོ,སྐོས,PH,,tvd
v-1a1c79f28300-GT,xct,སྐོ,སྐོ,བསྐོས,བསྐོ,སྐོས,GT,,tvd
v-1a1c79f28300-KN,xct,སྐོ,སྐོ,བསྐོས,བསྐོ,སྐོས,KN,,tvd
v-67e86e38de6c-TDC,xct,སྐོང,སྐོང,བསྐངས,བསྐང,སྐོངས,TDC,,tvd
v-67e86e38de6c-PH,xct,སྐོང,སྐོང,བསྐངས,བསྐང,སྐོངས,PH,,tvd
v-67e86e38de6c-GT,xct,སྐོང,སྐོང,བསྐངས,བསྐང,སྐོངས,GT,,tvd
