ID,Old_Form,New_Form,Lane,Source
u5204-u5203,刄,刃,kanjidic,kanjidic2
u5265-u525d,剥,剝,kanjidic,kanjidic2
u5271-u5263,剱,剣,kanjidic,kanjidic2
u5292-u5263,劒,剣,kanjidic,kanjidic2
u5294-u5263,劔,剣,kanjidic,kanjidic2
u91fc-u5263,釼,剣,kanjidic,kanjidic2
u5291-u5264,劑,剤,kanjidic,kanjidic2
u6227-u5275,戧,創,kanjidic,kanjidic2
u4f2e-u52aa,伮,努,kanjidic,kanjidic2
u52f5-u52b1,勵,励,kanjidic,kanjidic2
u52de-u52b4,勞,労,kanjidic,kanjidic2
u6548-u52b9,效,効,kanjidic,kanjidic2
u6555-u52c5,敕,勅,kanjidic,kanjidic2
u52c8-u52c7,勈,勇,kanjidic,kanjidic2
u52f8-u52e7,勸,勧,kanjidic,kanjidic2
u52db-u52f2,勛,勲,kanjidic,kanjidic2
u531e-u5320,匞,匠,kanjidic,kanjidic2
u5340-u533a,區,区,kanjidic,kanjidic2
u91ab-u533b,醫,医,kanjidic,kanjidic2
u5346-u5352,卆,卒,kanjidic,kanjidic2
u684c-u5353,桌,卓,kanjidic,kanjidic2
u563d-u5358,嘽,単,kanjidic,kanjidic2
u768d-u5373,皍,即,kanjidic,kanjidic2
u537b-u5374,卻,却,kanjidic,kanjidic2
u5795-u539a,垕,厚,kanjidic,kanjidic2
u53a1-u539f,厡,原,kanjidic,kanjidic2
u53ba-u53bb,厺,去,kanjidic,kanjidic2
u53c3-u53c2,參,参,kanjidic-merge,kanjidic2
u53c5-u53c2,叅,参,kanjidic-merge,kanjidic2
u96d9-u53cc,雙,双,kanjidic,kanjidic2
u6558-u53d9,敘,叙,kanjidic,kanjidic2
u576e-u53f0,坮,台,kanjidic-merge,kanjidic2
u81fa-u53f0,臺,台,kanjidic-merge,kanjidic2
u865f-u53f7,號,号,kanjidic,kanjidic2
u5434-u5449,吴,呉,kanjidic,kanjidic2
u5492-u546a,咒,呪,kanjidic,kanjidic2
u9fa2-u548c,龢,和,kanjidic,kanjidic2
u80ed-u54bd,胭,咽,kanjidic,kanjidic2
u5586-u54f2,喆,哲,kanjidic-merge,kanjidic2
u569e-u54f2,嚞,哲,kanjidic-merge,kanjidic2
u8123-u5507,脣,唇,kanjidic,kanjidic2
u8aaf-u5531,誯,唱,kanjidic,kanjidic2
u8aec-u5553,諬,啓,kanjidic,kanjidic2
u8b71-u5584,譱,善,kanjidic,kanjidic2
u5644-u55ab,噄,喫,kanjidic,kanjidic2
u71df-u55b6,營,営,kanjidic,kanjidic2
u9f45-u55c5,齅,嗅,kanjidic,kanjidic2
u56d1-u5631,囑,嘱,kanjidic,kanjidic2
u4e96-u56db,亖,四,kanjidic,kanjidic2
u56d8-u56de,囘,回,kanjidic,kanjidic2
u56d9-u56e0,囙,因,kanjidic,kanjidic2
u570d-u56f2,圍,囲,kanjidic,kanjidic2
u5716-u56f3,圖,図,kanjidic,kanjidic2
u56f6-u56fd,囶,国,kanjidic,kanjidic2
u5700-u56fd,圀,国,kanjidic,kanjidic2
u58d3-u5727,壓,圧,kanjidic,kanjidic2
u57c0-u5782,埀,垂,kanjidic,kanjidic2
u58ae-u5815,墮,堕,kanjidic,kanjidic2
u57de-u5824,埞,堤,kanjidic,kanjidic2
u5872-u5834,塲,場,kanjidic,kanjidic2
u757e-u5841,畾,塁,kanjidic,kanjidic2
u51f7-u584a,凷,塊,kanjidic,kanjidic2
u5850-u5851,塐,塑,kanjidic,kanjidic2
u5896-u5854,墖,塔,kanjidic,kanjidic2
u586b-u5861,填,塡,kanjidic,kanjidic2
u9e7d-u5869,鹽,塩,kanjidic,kanjidic2
u58e4-u58cc,壤,壌,kanjidic,kanjidic2
